name,url,description,readme_url,last_updated,stars
server-template-node,https://github.com/hargup/server-template-node,,https://api.github.com/repos/hargup/server-template-node/contents/README.md,2021-01-28T16:20:01Z,0
serverless-template-dreambooth-training,https://github.com/hargup/serverless-template-dreambooth-training,This repo is the basic framework for training Dreambooth Stable Diffusion in production on Banana's serverless GPU platform,https://api.github.com/repos/hargup/serverless-template-dreambooth-training/contents/README.md,2022-12-04T02:19:38Z,0
serverless-template-stable-diffusion,https://github.com/hargup/serverless-template-stable-diffusion,Stable Diffusion v2.0 optimized for banana.dev,https://api.github.com/repos/hargup/serverless-template-stable-diffusion/contents/README.md,2023-06-07T19:05:05Z,1
sicp,https://github.com/hargup/sicp,My solutions to the sicp problems,https://api.github.com/repos/hargup/sicp/contents/README.md,2014-03-16T10:59:56Z,0
slack-export-viewer,https://github.com/hargup/slack-export-viewer,A Slack Export archive viewer that allows you to easily view and share your Slack team's export,https://api.github.com/repos/hargup/slack-export-viewer/contents/README.md,2017-03-17T17:31:05Z,0
source_code_ktj,https://github.com/hargup/source_code_ktj,"Repository for the problems of the event ""Source Code"" at Kshitij 2016",https://api.github.com/repos/hargup/source_code_ktj/contents/README.md,2016-01-24T17:30:32Z,0
stackexchange-dump-to-postgres,https://github.com/hargup/stackexchange-dump-to-postgres,Python scripts to import StackExchange data dump into Postgres DB.,https://api.github.com/repos/hargup/stackexchange-dump-to-postgres/contents/README.md,2021-05-03T09:20:30Z,0
sympy,https://github.com/hargup/sympy,A computer algebra system written in pure Python,https://api.github.com/repos/hargup/sympy/contents/README.md,2014-11-23T14:03:06Z,0
sympy-paper,https://github.com/hargup/sympy-paper,Paper for SymPy,https://api.github.com/repos/hargup/sympy-paper/contents/README.md,2016-04-13T21:15:46Z,0
takoyaki,https://github.com/hargup/takoyaki,Fuzzy clustering interface prototype.,https://api.github.com/repos/hargup/takoyaki/contents/README.md,2021-01-23T20:25:50Z,0
test-fly-io,https://github.com/hargup/test-fly-io,,https://api.github.com/repos/hargup/test-fly-io/contents/README.md,2022-02-26T18:49:22Z,0
time-tracker-web-nxt,https://github.com/hargup/time-tracker-web-nxt,A time tracker application brought to you by ClojureScript with all the goodness of re-frame. This is the front-end to https://github.com/nilenso/time-tracker.,https://api.github.com/repos/hargup/time-tracker-web-nxt/contents/README.md,2018-03-22T07:27:51Z,0
twitter-mass-unfollow,https://github.com/hargup/twitter-mass-unfollow,A simple (configurable) way to mass unfollow your followings on Twitter,https://api.github.com/repos/hargup/twitter-mass-unfollow/contents/README.md,2023-09-11T01:19:10Z,0
twitter-search-covid19,https://github.com/hargup/twitter-search-covid19,Twitter Search for COVID19 resources in your city,https://api.github.com/repos/hargup/twitter-search-covid19/contents/README.md,2021-04-20T21:47:04Z,0
unicode_to_shusha,https://github.com/hargup/unicode_to_shusha,Converts hindi text in shusha to ascii shusha font,https://api.github.com/repos/hargup/unicode_to_shusha/contents/README.md,2014-04-15T06:51:39Z,0
whgi-indic,https://github.com/hargup/whgi-indic,,https://api.github.com/repos/hargup/whgi-indic/contents/README.md,2016-06-23T12:12:54Z,1
WIGI,https://github.com/hargup/WIGI,"Wikipedia Gender Index (WIGI), uses Wikidata to produce gender-related statistic on Wikipedia Biographies",https://api.github.com/repos/hargup/WIGI/contents/README.md,2015-05-04T17:21:52Z,0
WIGI-website,https://github.com/hargup/WIGI-website,,https://api.github.com/repos/hargup/WIGI-website/contents/README.md,2019-02-15T02:24:00Z,9
Wikidata-Toolkit,https://github.com/hargup/Wikidata-Toolkit,,https://api.github.com/repos/hargup/Wikidata-Toolkit/contents/README.md,2015-12-16T12:24:27Z,0
work_logs,https://github.com/hargup/work_logs,,https://api.github.com/repos/hargup/work_logs/contents/README.md,2016-08-08T09:06:51Z,0
blog,https://github.com/felvin-search/blog,https://blog.felvin.com,https://api.github.com/repos/felvin-search/blog/contents/README.md,2023-01-14T11:19:37Z,3
browser-extensions,https://github.com/felvin-search/browser-extensions,Contains browser extensions for Felvin search ,https://api.github.com/repos/felvin-search/browser-extensions/contents/README.md,2023-01-14T11:18:52Z,0
cheat.sh,https://github.com/felvin-search/cheat.sh,the only cheat sheet you need,https://api.github.com/repos/felvin-search/cheat.sh/contents/README.md,2022-02-25T06:17:43Z,0
cli,https://github.com/felvin-search/cli,,https://api.github.com/repos/felvin-search/cli/contents/README.md,2022-02-05T11:25:25Z,0
codeReference-api,https://github.com/felvin-search/codeReference-api,API service that serves code snippets to Code Reference instant app,https://api.github.com/repos/felvin-search/codeReference-api/contents/README.md,2021-12-31T05:00:50Z,0
codewiz,https://github.com/felvin-search/codewiz,Make ChatGPT your partner to improve your programming experience.,https://api.github.com/repos/felvin-search/codewiz/contents/README.md,2023-09-05T16:31:59Z,4
core,https://github.com/felvin-search/core,,https://api.github.com/repos/felvin-search/core/contents/README.md,2022-02-05T11:24:59Z,0
DocQues,https://github.com/felvin-search/DocQues,DocQues answers queries on longer and multiple documents build on GPT-Index and GPT-3,https://api.github.com/repos/felvin-search/DocQues/contents/README.md,2023-02-07T05:22:31Z,0
docs,https://github.com/felvin-search/docs,Docs at Felvin,https://api.github.com/repos/felvin-search/docs/contents/README.md,2023-01-14T11:19:17Z,8
extension-demo,https://github.com/felvin-search/extension-demo,Demo video for the instant apps browser extension,https://api.github.com/repos/felvin-search/extension-demo/contents/README.md,2022-03-04T05:15:56Z,0
felvin-landing-page,https://github.com/felvin-search/felvin-landing-page,,https://api.github.com/repos/felvin-search/felvin-landing-page/contents/README.md,2022-11-23T06:46:17Z,0
felvin.com-bugs,https://github.com/felvin-search/felvin.com-bugs,A place to report bugs regarding felvin.com,https://api.github.com/repos/felvin-search/felvin.com-bugs/contents/README.md,2021-12-28T19:26:11Z,0
gpt-repository-loader,https://github.com/felvin-search/gpt-repository-loader,,https://api.github.com/repos/felvin-search/gpt-repository-loader/contents/README.md,2023-09-05T16:32:28Z,8
instant-apps,https://github.com/felvin-search/instant-apps,Your search box is now an app store! 🎉,https://api.github.com/repos/felvin-search/instant-apps/contents/README.md,2023-10-17T07:56:32Z,93
Instant-Apps-Browser-Extension,https://github.com/felvin-search/Instant-Apps-Browser-Extension,Injects Felvin Instant Apps into your Google Search Page according to your searched query!,https://api.github.com/repos/felvin-search/Instant-Apps-Browser-Extension/contents/README.md,2023-11-14T11:53:59Z,1
nginx_conf,https://github.com/felvin-search/nginx_conf,,https://api.github.com/repos/felvin-search/nginx_conf/contents/README.md,2021-09-01T09:23:46Z,0
react-pong,https://github.com/felvin-search/react-pong,:white_check_mark: A pong game React component,https://api.github.com/repos/felvin-search/react-pong/contents/README.md,2021-09-19T18:04:33Z,0
token-count,https://github.com/felvin-search/token-count,,https://api.github.com/repos/felvin-search/token-count/contents/README.md,2023-12-26T09:32:16Z,19
